OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-06712850,"CHERRY CREEK ABOVE CHERRY CREEK LAKE, CO.",Stream,,10190003,,,,,39.6247104,-104.8341429,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06712855,"CHERRY CREEK TRIBUTARY NO. 1 NEAR AURORA, CO",Stream,,10190003,,,,,39.6308215,-104.8255314,24000,5,seconds,Interpolated from MAP.,NAD83,5615,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06712860,"QUINCY AVE STORM DRAIN NR AURORA, CO.",Facility: Storm sewer,,10190003,,,,,39.633877,-104.8308093,,5,seconds,Interpolated from MAP.,NAD83,5660.00,feet,15,feet,Unknown.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06712950,"LONE TREE CREEK AT MOUTH, NEAR AURORA, CO.",Stream,,10190003,,,,,39.6147104,-104.8410877,,5,seconds,Interpolated from MAP.,NAD83,5580.00,feet,15,feet,Unknown.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06712960,"COTTONWOOD CREEK ABOVE CHERRY CREEK LAKE, CO",Stream,,10190003,,,,,39.6247103,-104.8494212,24000,5,seconds,Interpolated from MAP.,NAD83,5550,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06712990,"CHERRY CREEK LAKE NEAR DENVER, CO.","Lake, Reservoir, Impoundment",,10190003,385,sq mi,,,39.6508213,-104.8541434,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06713000,"CHERRY CREEK BELOW CHERRY CREEK LAKE, CO",Stream,,10190003,385,sq mi,,,39.653599,-104.8630326,,1,minutes,Interpolated from MAP.,NAD83,5487.51,feet,10,feet,Level or other surveyed method.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06713010,"CHERRY KNOLLS STORM DRAIN AT DENVER, CO.",Facility: Storm sewer,,10190003,,,,,39.6494323,-104.8802555,,5,seconds,Interpolated from MAP.,NAD83,5540.00,feet,15,feet,Unknown.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06713300,"CHERRY CREEK AT GLENDALE, CO",Stream,,10190003,405,sq mi,,,39.7060984,-104.9374795,,1,minutes,Interpolated from MAP.,NAD83,5320.00,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06713500,"CHERRY CREEK AT DENVER, CO.",Stream,,10190003,410,sq mi,,,39.7424869,-104.9999817,,1,minutes,Interpolated from MAP.,NAD83,5180.48,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714000,"SOUTH PLATTE RIVER AT DENVER, CO.",Stream,,10190003,3866,sq mi,,,39.7597089,-105.003315,24000,5,seconds,Interpolated from MAP.,NAD83,5157.64,feet,15,feet,Unknown.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714100,"THIRTY-SIXTH STREET STORM SEWER AT DENVER, CO.",Facility: Storm sewer,,10190003,,,,,39.7730422,-104.9797029,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714130,"SOUTH PLATTE RIVER AT 50TH AVENUE AT DENVER, CO.",Stream,,10190003,3883,sq mi,,,39.7869309,-104.9749804,,5,seconds,Interpolated from MAP.,NAD83,5133.00,feet,15,feet,Unknown.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714200,"BURLINGTON DITCH BELOW HEADGATE AT DENVER, CO.",Stream: Ditch,,10190003,,,,,39.8005419,-104.9594242,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714207,"MILTON RESERVOIR, CO. DUP1","Lake, Reservoir, Impoundment",,10190003,,,,,40.2383151,-104.6377413,,5,seconds,Interpolated from MAP.,NAD83,4800,feet,15,feet,Unknown.,NGVD29,US,08,123,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714210,"SOUTH PLATTE RIVER TRIBUTARY AT DENVER, CO.",Stream,,10190003,0.75,sq mi,,,39.7883199,-104.9427569,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714215,"SOUTH PLATTE R AT 64TH AVE. COMMERCE CITY, CO.",Stream,,10190003,3895,sq mi,,,39.8122085,-104.9583129,,5,seconds,Interpolated from MAP.,NAD83,5105.00,feet,15,feet,Unknown.,NGVD29,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714220,"SENAC CR AT N BDR SLUDGE AREA, NR AURORA, CO DUP1",Stream,,10190003,7.81,sq mi,,,39.6516542,-104.6766369,24000,1,seconds,Interpolated from MAP.,NAD83,5705,feet,5,feet,Interpolated from topographic map.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714230,"TOLL GATE CREEK TRIBUTARY AT AURORA, CO",Stream,,10190003,0.3,sq mi,,,39.7374444,-104.8120833,24000,1,seconds,Interpolated from Digital MAP.,NAD83,5400,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714240,"SAND CREEK TRIBUTARY AT AURORA, CO.",Stream,,10190003,0.11,sq mi,,,39.7613761,-104.8271968,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714260,"WESTERLY CREEK AT AURORA, CO",Stream,,10190003,12.4,sq mi,,,39.745265,-104.8805324,24000,5,seconds,Interpolated from MAP.,NAD83,5315,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714270,"WESTERLY CREEK TRIBUTARY AT AURORA, CO",Stream,,10190003,,,,,39.7537778,-104.8646111,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,5320,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714300,"CONCOURSE D ST DR AT STPLTN AIRPT AT DENVER, CO.",Stream,,10190003,0.15,sq mi,,,39.7688758,-104.8871992,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714310,"SAND CREEK TRIBUTARY AT DENVER, CO.",Stream,,10190003,0.29,sq mi,,,39.7852646,-104.842475,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714360,"SAND CRK ABV BURLINGTON DITCH NR COMMERCE CITY, CO",Stream,,10190003,187,sq mi,187,sq mi,39.81025,-104.9503333,24000,5,seconds,Interpolated from MAP.,NAD83,5122,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714400,"S CLEAR CR ABV LOWER CABIN CR RES NR GEORGETOWN,CO",Stream,,10190004,11.3,sq mi,,,39.6490056,-105.7074833,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,10060,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,019,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714445,"MILTON RESERVOIR, CO. DUP2","Lake, Reservoir, Impoundment",,10190003,,,,,40.2383151,-104.6377413,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,123,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714500,S CLEAR CR ABV LWR CABIN CR RES SPILWY NR GEORGTWN,Stream,,10190004,13.7,sq mi,,,39.6631,-105.7063278,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,9969,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,019,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714600,SOUTH CLEAR CRK ABV LEAVENWORTH CRK NR GEORGETWN.,Stream,,10190004,16,sq mi,,,39.6869318,-105.6994488,24000,5,seconds,Interpolated from MAP.,NAD83,9280,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,019,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714800,"LEAVENWORTH CREEK AT MOUTH NEAR GEORGETOWN, CO",Stream,,10190004,12,sq mi,,,39.6872096,-105.7002821,24000,5,seconds,Interpolated from MAP.,NAD83,9280,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,019,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06715000,CLEAR CREEK ABV WEST FORK CLEAR CREEK NR EMPIRE CO,Stream,,10190004,86.3,sq mi,,,39.7519319,-105.661947,24000,5,seconds,Interpolated from MAP.,NAD83,8280,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,019,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06715500,"WEST FORK CLEAR CREEK ABOVE EMPIRE, CO.",Stream,,10190004,40.5,sq mi,,,39.7602651,-105.6988928,,5,seconds,Interpolated from MAP.,NAD83,8604.92,feet,15,feet,Unknown.,NGVD29,US,08,019,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06716000,"WEST FORK CLEAR CREEK NEAR EMPIRE, CO.",Stream,,10190004,58.2,sq mi,,,39.7585986,-105.6602803,,5,seconds,Interpolated from MAP.,NAD83,8271.27,feet,15,feet,Unknown.,NGVD29,US,08,019,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06716100,"WEST FORK CLEAR CREEK ABV MOUTH NR EMPIRE, CO",Stream,,10190004,57.4,sq mi,,,39.7588764,-105.6600025,24000,5,seconds,Interpolated from MAP.,NAD83,8235,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,019,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06716500,"CLEAR CREEK NEAR LAWSON, CO",Stream,,10190004,147,sq mi,,,39.7658209,-105.6261123,24000,5,seconds,Interpolated from MAP.,NAD83,8080,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,019,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06717000,"FALL RIVER NEAR IDAHO SPRINGS, CO.",Stream,,10190004,23.5,sq mi,,,39.7552656,-105.5563875,24000,1,seconds,Interpolated from MAP.,NAD83,7715.00,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,019,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06717400,"CHICAGO CREEK BLW DEVILS CANYON NR IDAHO SPRGS, CO",Stream,,10190004,43.8,sq mi,,,39.7163768,-105.5713883,24000,5,seconds,Interpolated from MAP.,NAD83,8040,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,019,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06717500,"CLEAR CREEK AT IDAHO SPRINGS, CO.",Stream,,10190004,242,sq mi,,,39.7422103,-105.5136081,,5,seconds,Interpolated from MAP.,NAD83,7510.00,feet,15,feet,Unknown.,NGVD29,US,08,019,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06718000,"CLEAR CREEK BELOW 23RD AVENUE AT IDAHO SPRINGS, CO",Stream,,10190004,258,sq mi,,,39.74235,-105.5075,,.5,seconds,Interpolated from Digital MAP.,NAD83,7500,feet,25,feet,Interpolated from topographic map.,NGVD29,US,08,019,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06718300,"CLEAR CREEK ABV JOHNSON GULCH NR IDAHO SPRINGS, CO",Stream,,10190004,267,sq mi,,,39.7463768,-105.4361058,24000,5,seconds,Interpolated from MAP.,NAD83,7210,feet,40,feet,Interpolated from topographic map.,NGVD29,US,08,019,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06718500,"NORTH CLEAR CREEK NEAR BLACK HAWK, CO.",Stream,,10190004,51.4,sq mi,,,39.7635989,-105.4269389,24000,5,seconds,Interpolated from MAP.,NAD83,7220.00,feet,15,feet,Unknown.,NGVD29,US,08,047,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06718550,"NORTH CLEAR CREEK ABOVE MOUTH NR BLACK HAWK, CO",Stream,,10190004,60,sq mi,,,39.7488767,-105.3997159,24000,5,seconds,Interpolated from MAP.,NAD83,6910,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,019,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719000,"CLEAR CREEK AT FORKS CREEK, CO.",Stream,,10190004,339,sq mi,,,39.7455434,-105.3977714,,5,seconds,Interpolated from MAP.,NAD83,6870.00,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719500,"CLEAR CREEK NEAR GOLDEN, CO.",Stream,,10190004,399,sq mi,,,39.7505431,-105.2488783,,5,seconds,Interpolated from MAP.,NAD83,5735.27,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719505,"CLEAR CREEK AT GOLDEN, CO",Stream,,10190004,394,sq mi,,,39.753043,-105.2352667,24000,5,seconds,Interpolated from MAP.,NAD83,5695,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719514,"AGRICULTURE DITCH INFLOW TO DFC AT LAKEWOOD, CO.",Atmosphere,,10190002,,,,,39.7244317,-105.1199856,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719515,"AGRI. DITCH SPILL AT DFC AT LAKEWOOD, COLO.",Atmosphere,,10190002,,,,,39.7158206,-105.1138744,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719516,"AGRICULTURE DI BL AGRI DI SPILL AT LAKEWOOD, CO.",Atmosphere,,10190002,,,,,39.7155429,-105.1138744,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719517,"ALAMEDA AVENUE INFLOW TO DFC AT LAKEWOOD, CO.",Atmosphere,,10190002,0.39,sq mi,,,39.7119318,-105.1147078,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719518,"DENVER FEDERAL CENTER FIELD AT LAKEWOOD, CO",Atmosphere,,10190002,0.01,sq mi,,,39.7133207,-105.1160967,24000,5,seconds,Interpolated from MAP.,NAD83,5610,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719526,"CLEAR CREEK AT TABOR STREET, AT WHEATRIDGE, CO.",Stream,,10190004,423,sq mi,,,39.7741536,-105.1305412,,5,seconds,Interpolated from MAP.,NAD83,5400.00,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719530,"APEX GULCH AT GOLDEN, CO",Stream,,10190004,1.5,sq mi,,,39.717625,-105.2082083,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,6120,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719535,"LENA GULCH AT UPPER SITE, AT GOLDEN, CO.",Stream,,10190004,2.68,sq mi,,,39.7224875,-105.1966547,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719540,"LENA GULCH TRIBUTARY AT GOLDEN, CO.",Stream,,10190004,0.6,sq mi,,,39.7249874,-105.1777652,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719560,"LENA GULCH AT LAKEWOOD, CO",Stream,,10190004,9.06,sq mi,,,39.7404028,-105.1488333,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,5610,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719725,"RALSTON CREEK NEAR PLAINVIEW, CO.",Stream,,10190004,36.9,sq mi,,,39.851098,-105.298602,,3,seconds,Interpolated from MAP.,NAD83,6765.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719730,"SCHWARTZWALDER MINE EFFLUENT NEAR PLAINVIEW, CO.",Stream,,10190004,0,sq mi,,,39.8466535,-105.2819348,,5,seconds,Interpolated from MAP.,NAD83,6580.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719735,"RALSTON C BL SHWARTZWLDER MINE NR PLAINVIEW, CO.",Stream,,10190004,38.9,sq mi,,,39.843598,-105.2763791,,5,seconds,Interpolated from MAP.,NAD83,6515.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719740,"RALSTON CREEK AB RALSTON RES, NR PLAINVIEW, CO.",Stream,,10190004,42.9,sq mi,,,39.8213759,-105.2616565,,3,seconds,Interpolated from MAP.,NAD83,6065.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719750,"RALSTON CREEK TRIBUTARY AT ARVADA, CO.",Stream,,10190004,0.6,sq mi,,,39.8147088,-105.1380414,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719760,"VAN BIBBER CREEK AT ARVADA, CO",Stream,,10190004,14.4,sq mi,,,39.79875,-105.139,,.5,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719770,"CLEAR CREEK TRIBUTARY AT ARVADA, CO.",Stream,,10190004,0.7,sq mi,,,39.8222085,-105.0535941,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719775,"HIDDEN LAKE OUTFLOW NEAR ARVADA, CO",Stream,,10190004,1.29,sq mi,,,39.8147085,-105.0347046,,3,seconds,Interpolated from MAP.,NAD83,5280,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719800,"SCHNEIDER DRAIN AT ARVADA, CO.",Facility: Storm sewer,,10190004,0.33,sq mi,,,39.8366529,-105.0710946,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719840,"LITTLE DRY CREEK AT WESTMINSTER, CO",Stream,,10190004,10.4,sq mi,,,39.8265528,-105.0400639,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,5275,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719880,"CLEAR CREEK TRIBUTARY NO. 1 AT WESTMINSTER, CO.",Stream,,10190004,1,sq mi,,,39.8316527,-105.0072037,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06719960,"CLEAR CREEK TRIBURARY NO. 2 AT WESTMINSTER, CO.",Stream,,10190004,0.7,sq mi,,,39.8305416,-104.9835916,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720000,"CLEAR CREEK AT MOUTH NEAR DERBY, CO",Stream,,10190004,570,sq mi,,,39.8283194,-104.9588684,24000,5,seconds,Interpolated from MAP.,NAD83,5110,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720100,"TUCK DRAIN AT NORTHGLENN, CO.",Stream,,10190003,0.07,sq mi,,,39.8763744,-104.9883138,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720200,"SOUTH PLATTE RIVER TRIB NO. 2 AT NORTHGLENN, CO.",Stream,,10190003,0.5,sq mi,,,39.865819,-105.0080368,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720240,"SOUTH PLATTE RIVER TRIBUTARY AT THORNTON, CO",Stream,,10190003,,,,,39.8524722,-104.9544444,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,5140,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720255,"UVALDA INTERCEPT BL 56TH AV AT ROCKY MTN ARS, CO",Stream,,10190003,,,,,39.7994311,-104.8363636,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720280,"PEORIA INTERCEPT BL 56TH AV, AT ROCKY MTN ARS, CO",Stream,,10190003,,,,,39.7988755,-104.8616424,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720285,"HAVANA INTERCEPT BL 56TH AV, AT ROCKY MTN ARS, CO",Stream,,10190003,,,,,39.8010976,-104.8644203,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720300,"HILLCREST DRAIN AT NORTHGLENN, CO.",Stream,,10190003,0.28,sq mi,,,39.8824855,-104.9938695,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720330,"GRANGE HALL C AT GRANT PARK, AT NORTHGLENN, CO.",Stream,,10190003,0.58,sq mi,,,39.888041,-104.9824801,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720400,"KENNEDY DRIVE DRAIN AT NORTHGLENN, CO.",Stream,,10190003,0.1,sq mi,,,39.890541,-104.9872025,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720415,"GRANGE HALL CREEK AT NORTHGLENN, CO.",Stream,,10190003,3.34,sq mi,,,39.8891521,-104.9616459,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720417,"GRANGE HALL CREEK BELOW NORTHGLENN, CO.",Stream,,10190003,3.6,sq mi,,,39.891652,-104.9580346,,5,seconds,Interpolated from MAP.,NAD83,5200.00,feet,15,feet,Unknown.,NGVD29,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720420,"STORM DR AT 116TH & CLAUDE CT AT NORTHGLENN, CO.",Facility: Storm sewer,,10190003,0.5,sq mi,,,39.9063741,-104.959979,,5,seconds,Interpolated from MAP.,NAD83,5277.00,feet,15,feet,Unknown.,NGVD29,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720460,"FIRST CR BEL BUCKLEY RD, AT ROCKY MTN ARSENAL, CO",Stream,,10190003,28.2,sq mi,,,39.8080421,-104.7938618,24000,1,seconds,Interpolated from MAP.,NAD83,5289.63,feet,1.0,feet,Level or other surveyed method.,NGVD29,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720480,"FIRST CR AB 96TH AVE, AT ROCKY MTN ARSENAL, CO",Stream,,10190003,39.6,sq mi,,,39.8674856,-104.8321963,24000,1,seconds,Interpolated from MAP.,NAD83,5140.78,feet,1.0,feet,Level or other surveyed method.,NGVD29,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720490,"FIRST CR AT HWY 2, NEAR ROCKY MTN ARSENAL, CO",Stream,,10190003,41.1,sq mi,,,39.8777633,-104.856086,24000,1,seconds,Interpolated from MAP.,NAD83,5106.41,feet,1.0,feet,Level or other surveyed method.,NGVD29,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720500,"SOUTH PLATTE RIVER AT HENDERSON, CO",Stream,,10190003,4768,sq mi,,,39.9219294,-104.868864,24000,1,minutes,Interpolated from MAP.,NAD83,5001.25,feet,10,feet,Level or other surveyed method.,NAVD88,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720690,"WOMAN CREEK NEAR PLAINVIEW, CO.",Stream,,10190003,,,,,39.885264,-105.198321,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720700,"WOMAN CREEK AT ROCKY FLATS PLANT, CO.",Stream,,10190003,2.1,sq mi,,,39.8855418,-105.185265,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,059,,,,,,,,,NWIS
